Station ID,Elevation in feet,Northing Y in feet,Easting X in feet,Link to PDF Diagram,Location
1,806.4,1273972.11,994654.35,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/1.pdf,"(40.16487373840, -88.29610594380)"
2,768.6,1274951.47,999932.47,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/2.pdf,"(40.16755455110, -88.27721830670)"
3A,793,1271718,990184.96,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/3A.pdf,"(40.15869004880, -88.31209961610)"
4,807.4,1271130.54,994685.52,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/4.pdf,"(40.15707334710, -88.29599868850)"
5,764.6,1271025.83,1002608.65,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/5.pdf,"(40.15677329990, -88.26765278800)"
6A,757.8,1273209.04,1005235.8,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/6A.pdf,"(40.16276068470, -88.25824721050)"
7,736.5,1270845.11,1013130.63,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/7.pdf,"(40.15624973680, -88.23000978540)"
7A,747.2,1270909.25,1005305.12,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/7A.pdf,"(40.15644740380, -88.25800616410)"
8,799.3,1269031.75,994747.74,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/8.pdf,"(40.15131190830, -88.29577926070)"
9A,732.1,1270815.88,1010500.12,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/9A.pdf,"(40.15617751300, -88.23942081470)"
11,759,1268551.5,1002645.83,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/11.pdf,"(40.14998096860, -88.26752632790)"
11A,814.8,1269793.89,993475.69,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/11A.pdf,"(40.15340543810, -88.30032881320)"
12,743,1269197.4,1005246.22,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/12.pdf,"(40.15174836190, -88.25822206280)"
13,739,1268215.15,1010544.51,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/13.pdf,"(40.14903815310, -88.23927185470)"
13A,764.2,1268033.91,1000040.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/13A.pdf,"(40.14856505790, -88.27684670400)"
15,764,1265692.39,997649.66,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/15.pdf,"(40.14214122290, -88.28540452810)"
16,759.2,1266601.54,999969.26,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/16.pdf,"(40.14463319400, -88.27710557290)"
18,733,1265712.06,989404.99,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/18.pdf,"(40.14220366940, -88.31489460120)"
18A,744.6,1268158.14,989435.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/18A.pdf,"(40.14891837200, -88.31478285760)"
19,734.1,1265572.5,1013102.91,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/19.pdf,"(40.14177604530, -88.23013086410)"
19A,761.4,1265651.81,991263.18,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/19A.pdf,"(40.14203702840, -88.30824815730)"
23,774.7,1263314.08,1005364.95,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/23.pdf,"(40.13559782560, -88.25781520640)"
24,750.2,1265769.28,1005293.66,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/24.pdf,"(40.14233774920, -88.25806274010)"
25,710.7,1260497.53,987032.07,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/25.pdf,"(40.12789030690, -88.32338431640)"
26,752.7,1265528.84,1010670.29,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/26.pdf,"(40.14166362200, -88.23883213010)"
26A,748.6,1264659.76,1009274.67,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/26A.pdf,"(40.13928188230, -88.24382716700)"
26B,761.5,1260443.14,992318.4,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/26B.pdf,"(40.12773783380, -88.30447982930)"
27,753.7,1260425.01,997294.29,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/27.pdf,"(40.12768226480, -88.28668552660)"
28,759.1,1260239.07,1003944.63,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/28.pdf,"(40.12715981970, -88.26290372480)"
28A,736,1263132.61,989463.28,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/28A.pdf,"(40.13512279420, -88.31468804090)"
29,756.8,1260283.51,1008312.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/29.pdf,"(40.12727125910, -88.24728293890)"
30,738.6,1260280.16,1013266.08,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/30.pdf,"(40.12724754690, -88.22956932870)"
31,765.3,1257792.13,989482.57,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/31.pdf,"(40.12046261710, -88.31462307010)"
32A,737.9,1263263.51,1010615.86,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/32A.pdf,"(40.13544523700, -88.23903541400)"
34,707.6,1255202.77,986907.8,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/34.pdf,"(40.11335566570, -88.32383074450)"
35,734.4,1255157.04,992345.26,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/35.pdf,"(40.11322690520, -88.30438992850)"
36,746.2,1255094.2,997436.33,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/36.pdf,"(40.11304842360, -88.28618768450)"
37,787.3,1254996.45,1004026.73,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/37.pdf,"(40.11276810120, -88.26262503790)"
38,752.3,1260294.2,999928.94,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/38.pdf,"(40.12731899990, -88.27726402920)"
38A,739.5,1255001.39,1008433.13,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/38A.pdf,"(40.11277097280, -88.24687071100)"
39,778.3,1270990.67,999968.23,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/39.pdf,"(40.15668175550, -88.27709932150)"
40,757.9,1260300.06,1005369.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/40.pdf,"(40.12732403210, -88.25780730510)"
40A,747,1252930.13,989506.96,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/40A.pdf,"(40.10711588130, -88.31453953230)"
41,738.1,1270895.25,1007907.63,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/41.pdf,"(40.15640254130, -88.24869543520)"
44,742,1252766.34,1000081.69,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/44.pdf,"(40.10665395570, -88.27673491670)"
45,762.1,1257735.72,994792.8,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/45.pdf,"(40.12030314160, -88.29563520400)"
45B,767.5,1257755.36,1005320.69,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/45B.pdf,"(40.12033868440, -88.25799035240)"
47,753.2,1265591.87,1007980.09,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/47.pdf,"(40.14184409790, -88.24845432460)"
48,716.9,1249829.29,993022.46,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/48.pdf,"(40.09860100000, -88.30197541630)"
48A,745.2,1255114.98,990084.35,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/48A.pdf,"(40.11311318380, -88.31247351250)"
50,737,1249657.65,1003004.72,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/50.pdf,"(40.09811467250, -88.26629344390)"
52,759.5,1249696.59,1013524.62,http://www.ci.champaign.il.us/mapsetc/controlpoints/diags/52.pdf,"(40.09819369950, -88.22868930520)"
